a_val,v_val,x_val,y_val,z_val
1954,6.8,16842687,295587,19994
1954,6.1,17035218,488118,49980
1954,6.5,17049877,502777,65889
1954,6.8,17061200,514100,11953
1954,6.23,17100461,553361,51221
1954,6.1,17346533,799433,13401
1954,6.2,17654689,1107589,65199
1954,6.1,17798625,1251525,44548
1954,6,18081284,1534184,62587
1954,6.3,18090462,1543362,66678
1954,6.1,18506014,1958914,85652
1954,6.3,18821752,2274652,55443
1954,6.2,19020865,2473765,50804
1954,6.6,19125966,37626,8199
1954,6.9,19184403,96063,28599
1954,6,19505896,417556,71771
1954,6.2,19698274,609934,34335
1954,6.3,20027813,939473,21558
1954,6.56,21275492,2187152,79064
1954,6.3,21552895,2464555,73620
1954,6,21683067,45867,67212
1954,6,21801446,164246,64120
1954,6.4,22217316,580116,45971
1954,6,22236810,599610,61205
1954,6,22252316,615116,1052
1954,6.3,22319138,681938,70277
1954,6.1,22438025,800825,3080
1954,6.3,22444255,807055,18114
1954,6.1,22464507,827307,29522
1954,6.2,22464712,827512,29712
1954,6,22466117,828917,31148
1954,6.7,22640683,1003483,4265
1954,6.2,22743849,1106649,20946
1954,6.3,22923835,1286635,62280
1954,6,23048361,1411161,8669
1954,6,23095214,1458014,57229
1954,6,23589576,1952376,31272
1954,6.5,23924620,2287420,29384
1954,6,24251903,56903,7762
1954,6,24324789,129789,4972
1954,6.5,24548143,353143,50394
1954,6.8,24720449,525449,49883
1954,6.4,24751128,556128,4634
1954,6,24794506,599506,28151
1954,6,24831182,636182,74158
1954,6.3,25666508,1471508,36351
1954,6.4,26002643,1807643,54582
1954,6.6,26266215,2071215,19857
1954,6.1,26290312,2095312,3016
1954,6.7,27332656,571096,58812
1954,6.09,28211213,1449653,16898
1954,6.7,28484804,1723244,7790
1954,6.2,28704002,1942442,56439
1954,6,28759499,1997939,22385
1954,6.4,28792562,2031002,53053
1954,6.1,28971452,2209892,71404
1954,6,29153858,2392298,75404
1954,6,29193179,2431619,28458
1954,6.8,29330200,2568640,10430
1954,6,30058697,724097,9433
1954,6.3,30092437,757837,61919
1954,6.1,30133873,799273,51944
1954,6.1,30632429,1297829,27189
1954,6,30684740,1350140,9479
1954,6.3,30718633,1384033,38950
1954,7.26,31144031,1809431,11683
1954,6.92,31144294,1809694,11950
1955,6.2,43042,2244442,78007
1955,6.5,71784,2273184,41984
1955,6,445247,72467,47350
1955,6.3,608446,235666,40362
1955,6.1,1190513,817733,49147
1955,7,1299021,926241,42105
1955,6.6,1360120,987340,17949
1955,6.5,1381330,1008550,39194
1955,6.2,1390965,1018185,48785
1955,6,1503871,1131091,53678
1955,6.6,1582424,1209644,67148
1955,6.8,1994628,1621848,53580
1955,6.5,1996551,1623771,55524
1955,6,2605732,2232952,75026
1955,6,3077410,135850,53097
1955,6.5,3344562,403002,81180
1955,6,3431022,489462,13294
1955,6.3,3560586,619026,4437
1955,6.3,3600133,658573,8093
1955,6,3698173,756613,17255
1955,6.3,3914513,972953,42524
1955,6.2,4048914,1107354,24809
1955,6.3,4812802,1871242,4849
1955,6.2,4861222,1919662,62859
1955,6.1,4861288,1919728,62928
1955,6,5179719,2238159,11822
1955,6.1,5596308,95868,79688
1955,7.5,5949807,449367,32464
1955,6.1,6036156,535716,4059
1955,6.3,6064982,564542,71423
1955,6.1,6502689,1002249,46797
1955,6.1,6519333,1018893,68696
1955,6.3,6528816,1028376,78234
1955,6.3,6555328,1054888,6396
1955,6.2,6747988,1247548,5602
1955,6,6901816,1401376,34680
1955,7,7218724,1718284,5884
1955,7.2,7517212,2016772,39024
1955,6,7884853,2384413,46053
1955,7,7913109,2412669,72705
1955,6.1,8010983,2510543,11381
1955,6.3,8413938,365418,64364
1955,7.4,8705833,657313,8990
1955,6.3,8715169,666649,18548
1955,6.5,9025887,977367,69327
1955,6.2,9055449,1006929,49000
1955,6.5,9126567,1078047,28249
1955,6,9130597,1082077,32233
1955,6.1,9204658,1156138,62195
1955,6,9229729,1181209,5788
1955,6.3,9567497,1518977,6874
1955,7.1,9854944,1806424,29766
1955,6.9,9949256,1900736,31192
1955,6.9,9951210,1902690,33100
1955,6.5,10175729,2127209,18923
1955,6.2,10342043,2293523,65975
1955,7,10355050,2306530,56186
1955,6.1,10375954,2327434,77091
1955,6.3,10388915,2340395,3618
1955,6.2,10693731,105771,39376
1955,6.3,10760355,172395,66868
1955,6.1,10897418,309458,75953
1955,6.4,11127908,539948,25932
1955,6,11238238,650278,71885
